"district_name","annual_domestic_industrial_draft","annual_groundwater_draft_total","annual_irrigation_draft","annual_replenishable_groundwater_resources","groundwater_availability_for_irrigation","natural_discharge_during_non_monsoon","net_groundwater_availability","projected_demand_upto_2025","stage_of_groundwater_development"
"Agra","10386.66","82090.24","92476.9","85379.22","6203.69","79175.53","11671.76","4936.82","116.8"
"Aligarh","11080.98","58849.03","69930.01","105109.95","8674.49","96435.46","12635.1","28986.07","72.51"
"Ambedkar Nagar","6033.74","39455.32","45489.06","80402.51","7062.11","73340.4","6670.83","27214.24","62.02"
"Amethi","4729.24","45357","50086.24","90313.34","8286.1","82027.24","5243.71","31426.53","61.06"
"Amroha","4564.47","44426.08","48990.55","53496.73","2674.85","50821.88","5188.02","3481.23","96.4"
"Ananthapuramu","17548.91","112733.84","130282.75","185489.05","9274.69","176214.31","23268.2","78547.23","73.93"
"Araria","6352.31","13511.94","19864.25","83573.65","7652.45","75921.2","6094.29","55387.98","26.16"
"Arwal","1897.17","6210.75","8107.92","20645.06","1938.79","18706.27","1676.17","10414.35","43.34"
"Auraiya","2811.57","29753.6","32565.17","72848.14","6502.76","66345.38","3041.69","33550.08","49.08"
"Aurangabad","6470.14","21138.25","27608.39","85085.74","8280.17","76805.57","5832.38","48556.98","35.95"
"Azamgarh","12787.7","64876.48","77664.18","121000.1","7748.38","113251.72","14836.82","33538.44","68.58"
"Baghpat","2.45","35149.16","35151.61","39025.58","3119.27","35906.31","2.6","2419.68","97.9"
"Bahraich","9178.6","62375.08","71553.68","140697.55","8406.59","132290.95","10470.83","59445.07","54.09"
"Baksa","2081.32","2548.56","4629.88","147043.72","19894.89","127148.83","2226.4","122371.23","3.64"
"Ballia","7698.07","46915.44","54613.51","93528.69","6465.43","87063.26","8772.29","31375.53","62.73"
"Balrampur","5795.61","43492.24","49287.85","95175.8","7884.46","87291.34","6750.02","37049.06","56.46"
"Banda","3762.52","37248.09","41010.61","67457.92","4389.58","63068.34","4256.96","21563.31","65.03"
"Banka","4343.35","12657.33","17000.68","51013.74","5101.36","45912.38","3979.14","28474.89","37.03"
"Barabanki","8511.84","107211.15","115722.99","204633.8","15406.27","189227.52","9670.51","72345.88","61.16"
"Bareilly","13150.76","72084.8","85235.56","132457.06","7003.68","125453.38","14695.65","41749.49","67.94"
"Barpeta","3922.34","24276","28198.34","126786.04","13659.7","113126.34","4461.22","84377.2","24.93"
"Basti","6212.45","39328.12","45540.57","78844.63","6365.42","72479.21","6902.14","26248.92","62.83"
"Begusarai","7940.72","20792.43","28733.15","55739.58","5573.98","50165.6","6958.59","20668.64","57.28"
"Bhagalpur","5902.39","14008.92","19911.31","76711.61","7241.91","69469.7","5437.25","48961.56","28.66"
"Bhojpur","7507.91","35935.74","43443.65","76793.86","7679.39","69114.47","5835.51","25030.24","62.86"
"Bijnor","7567.86","86484.11","94051.97","146628.52","11040","135588.52","8345.53","40758.88","69.37"
"Bongaigaon","1734.33","10024.56","11758.89","53798.18","6039.82","47758.36","1968.2","35765.01","24.62"
"Budaun","8091.96","52939.36","61031.32","84566.98","5441.57","79125.41","9105.51","18340.29","77.13"
"Bulandshahar","6449.51","132226.73","138676.25","164045.66","12285.66","151760","6972.13","18475.12","91.38"
"Buxar","4677.96","23195.56","27873.52","55098.77","5509.89","49588.88","3617.02","21318.3","56.21"
"Cachar","4030.47","0","4030.47","83512.79","43069.04","40443.75","4552.83","35880.36","9.97"
"Central Delhi","1483.93","167.09","1651.02","2006.54","200.66","1805.9","1534.23","250.53","91.42"
"Chandauli","4439.93","22626.09","27066.02","55974.33","4531.65","51442.68","4896.29","23920.3","52.61"
"Chandigarh","3674","950.7","4624.7","6375.6","637.56","5738.04","3483.2","1113.34","80.6"
"Changlang","185.31","0","185.31","25341.6","3951.82","21389.78","205.88","21183.9","0.87"
"Chirang","1027.41","1522.08","2549.49","112911.8","11585.3","101326.5","1101.8","98700.25","2.52"
"Chitrakoot","2375.04","28736.33","31111.37","41176.93","3539.43","37637.5","2726.88","6174.29","82.66"
"Chittoor","8829.89","69902.33","78732.22","137954.22","6898.15","131056.07","10061.78","53480.07","60.08"
"Darbhanga","9670.12","21147.19","30817.31","71995.52","6975.55","65019.97","9103.41","33203.37","47.4"
"Darrang","2047.31","15469.44","17516.75","62648.11","15054.96","47593.15","2332.28","29779.35","36.81"
"Deoria","6870.06","69475.14","76345.2","141143.86","12066.32","129077.54","7468.53","52133.91","59.15"
"Dhemaji","1415.66","1631.28","3046.94","135522.47","31751.51","103770.96","1596.65","100538.95","2.94"
"Dhubri","3031.38","23570.4","26601.78","112151.62","11215.16","100936.46","3517.91","73846.38","26.35"
"Dibrugarh","2895.58","4890.48","7786.06","132412.6","27758.18","104654.42","3088.53","96643.34","7.44"
"Dima Hasao","428.23","337.68","765.91","44933.62","4493.36","40440.26","465.88","39635.52","1.89"
"East Champaran","12922.06","42436.89","55358.95","140882.52","12016.94","128865.58","11421.87","72252.83","42.96"
"East Delhi","1122.48","128.69","1251.17","1557.83","155.78","1402.06","1151.87","177.92","89.24"
"East Godavari","8767.96","39158.73","47926.69","262429.1","13121.77","249307.31","4780.25","203246.6","19.22"
"East Kameng","28.35","0","28.35","12228.55","1222.86","11005.69","35.68","10970.01","0.26"
"East Siang","69.28","253.09","322.37","78506.8","4515.5","73991.3","73.76","73663.41","0.44"
"Etah","4426.67","41172.57","45599.24","62342.09","5151.7","57190.39","4840.12","11177.7","79.73"
"Etawah","3091.88","28675.37","31767.25","81401.08","7023.72","74377.36","3431.04","42270.94","42.71"
"Faizabad Ayodhya","6691.13","51372.96","58064.09","99866.63","7889.13","91977.5","7822.51","32782.02","63.13"
"Farrukhabad","3784.93","33753.52","37538.45","55959.58","4727.45","51232.13","4244.47","13234.14","73.27"
"Fatehpur","6945.93","90085.36","97031.29","148919.7","10830.96","138088.75","7940.09","40520.76","70.27"
"Firozabad","6405.04","68630.88","75035.92","72334.04","5335.15","66998.89","7151.21","7236.25","112"
"Gautam Buddha Nagar","1530.81","60634","62164.81","67159.4","5924.21","61235.19","1620.99","3882.66","101.52"
"Gaya","12573.75","56810.39","69384.14","118803.09","11880.33","106922.76","10130.82","38409.24","64.89"
"Ghaziabad","8060.3","37002.24","45062.54","42994.08","3456.81","39537.27","12199.42","1678","113.97"
"Ghazipur","6582.8","51244.48","57827.28","100703.66","5641.14","95062.52","7362.55","36455.44","60.83"
"Goalpara","2042.92","9866.64","11909.56","74380.8","9897.53","64483.27","2337.15","52270.66","18.47"
"Golaghat","1660.65","3677.52","5338.17","120200.55","16897","103303.55","1786.15","97827.12","5.17"
"Gonda","9194.93","48974.41","58169.34","100810.16","5711.68","95098.48","10644.32","35479.78","61.17"
"Gopalganj","7836.8","25322.6","33159.4","64395.39","5284.86","59110.53","5588.24","25337.68","56.1"
"Gorakhpur","8686.27","88464.86","97151.13","177653.66","15079.09","162574.56","9644.51","64465.23","59.76"
"Guntur","11249.23","41753.8","53003.03","177950.2","8897.56","169052.6","15899.09","119482.6","31.35"
